犁绊疙,前格A,前格B,前格C,前格D,前格F,前格G
2024-01-01,9,3,6,20,1,4
2024-01-02,10,2,7,25,2,5
2024-01-03,5,4,5,18,3,6
2024-01-04,7,2,8,22,1,7
2024-01-05,8,3,4,28,3,4
2024-01-06,9,8,6,30,2,7
2024-01-07,5,9,7,32,1,8
2024-01-08,7,6,7,28,2,4
2024-01-09,8,5,5,15,3,5
2024-01-10,5,7,4,10,2,3
2024-01-11,6,2,5,12,3,4
2024-01-12,7,4,3,8,1,5
2024-01-13,8,2,6,15,2,6
2024-01-14,9,3,7,20,3,7
2024-01-15,6,4,5,25,1,4
2024-01-16,5,5,4,18,2,5
2024-01-17,7,3,6,22,3,6
2024-01-18,8,2,5,16,1,7
2024-01-19,9,3,7,20,2,8
2024-01-20,10,4,8,25,3,4
2024-01-21,5,5,4,18,2,5
2024-01-22,6,3,6,22,1,6
2024-01-23,7,4,7,26,2,7
2024-01-24,8,2,5,28,3,4
2024-01-25,9,5,6,30,1,5
2024-01-26,10,3,7,32,2,6
2024-01-27,8,4,6,28,1,7
2024-01-28,9,5,5,25,2,4
2024-01-29,7,2,4,22,3,3
2024-01-30,6,3,6,24,1,5
2024-01-31,5,4,7,26,2,6
